Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_wrist_roll_link,5.6478E-05,-0.062427,0.00035729,0,0,0,0.63795,0.00085,-3.6597E-07,-8.9401E-07,0.00052,2.2635E-06,0.00075,0,0,0,0,0,0,package://rel2/meshes/right_wrist_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_wrist_roll_link.STL,,AMR6A-1;AMR6B-1,CRA6,ARA6,right_wrist_roll_joint,revolute,0,0,0,-1.5708,0,0,right_elbow_yaw_link,0,0,-1,50,7,-1.92,1.92,,,1,2,,,,
right_wrist_yaw_link,-8.1679E-08,0.00026081,0.11621,0,0,0,0.083273,2.0254E-05,2.1709E-08,-1.4701E-10,2.0019E-05,6.7218E-08,3.6529E-05,0,0,0,0,0,0,package://rel2/meshes/right_wrist_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_wrist_yaw_link.STL,,AMR7A-1;AMR7B-1,CRA7,ARA7,right_wrist_yaw_joint,revolute,0,0,0,1.5708,0,0,right_wrist_roll_link,0,0,1,50,7,-2.09,2.09,,,1,2,,,,
rightt_hand_ee_link,0.00533000000001075,0.0247499999999521,-0.10244999999995,0,0,0,0.000975000000000002,4.06250000000002E-09,6.22333931610534E-26,5.96745380247799E-24,4.06250000000001E-09,-4.38860115610941E-26,4.06250000000001E-09,0,0,0,0,0,0,package://rel2/meshes/rightt_hand_ee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rel2/meshes/rightt_hand_ee_link.STL,,Dummy-2,CRA8,ARA7,rightt_hand_ee_joint,fixed,0,0,0.1285,3.14159265358979,0,0,right_wrist_yaw_link,0,0,0,,,,,,,,,,,,
rightt_hand_link,0.0173578166871508,0.00501540720610083,-0.0710088508173106,0,0,0,1.23353471125357,0.000549329235899025,2.20872140757603E-05,6.23750427224327E-05,0.00110414658686985,-1.43018596299345E-05,0.000640850932932067,0,0,0,0,0,0,package://rel2/meshes/rightt_hand_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rel2/meshes/rightt_hand_link.STL,,AMR-71-1,CRA8,ARA7,rightt_hand_joint,fixed,0,0,0.1285,3.14159265358979,0,0,right_wrist_yaw_link,0,0,0,,,,,,,,,,,,
waist_yaw_link,0.0018236,3.106E-08,0.015461,0,0,0,1.9214,0.00353,-2.5545E-08,-4.7672E-05,0.00375,3.1696E-09,0.00508,0,0,0,0,0,0,package://rel2/meshes/waist_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/waist_yaw_link.STL,,WT1A-1;WT1B-1,CW1,AW1,waist_yaw_joint,revolute,0,0,-0.0975,0,0,0,map,0,0,-1,100,12,-1.57,1.57,,,2,2,,,,
waist_roll_link,-8.7577E-07,-0.020553,-0.088247,0,0,0,5.1053,0.00876,-2.98E-09,-2.5393E-07,0.0526,-1.2239E-05,0.056,0,0,0,0,0,0,package://rel2/meshes/waist_roll_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://rel2/meshes/waist_roll_link.STL,,WT2A-1;WT2B-1,CW2,AW2,waist_roll_joint,revolute,0,0,0,1.5708,0,1.5708,waist_yaw_link,0,0,-1,100,12,-0.26,0.26,,,2,2,,,,
left_leg_roll_link,-0.0048592,-0.00012591,-0.0028089,0,0,0,1.7968,0.00372,1.1643E-07,3.4763E-05,0.00286,-1.0471E-08,0.00262,0,0,0,0,0,0,package://rel2/meshes/left_leg_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_leg_roll_link.STL,,LGL1A-1;LGL1B-1,CLL1,ALL1,left_leg_roll_joint,revolute,0.117,-0.032,0,0,0,1.5708,waist_roll_link,0,0,1,100,12,-0.44,1.57,,,2,2,,,,
left_leg_yaw_link,-0.0013538,0.014654,0.077538,0,0,0,0.61484,0.0012242,-6.7208E-07,-2.2333E-05,0.0013918,-0.00022312,0.00048585,0,0,0,0,0,0,package://rel2/meshes/left_leg_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_leg_yaw_link.STL,,LGL2-1,CLL2,ALL2,left_leg_yaw_joint,revolute,0,0,0,3.1416,-1.5708,0,left_leg_roll_link,0,0,1,100,12,-1.05,1.05,,,2,2,,,,
left_leg_pitch_link,-0.0027612,-0.078535,-0.0083028,0,0,0,6.0376,0.051,0.00028796,-1.0894E-05,0.0127,-0.00018948,0.05573,0,0,0,0,0,0,package://rel2/meshes/left_leg_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_leg_pitch_link.STL,,LGL3A-1;LGL3B-1,CLL3,ALL3,left_leg_pitch_joint,revolute,0,0,0.1455,-1.5708,0.5236,0,left_leg_yaw_link,0,0,-1,250,12,-1.57,1.31,,,2,2,,,,
left_knee_link,0.015712,-0.10775,6.6184E-06,0,0,0,2.2288,0.01475,-0.00019539,7.1643E-07,0.00241,2.0711E-06,0.01457,0,0,0,0,0,0,package://rel2/meshes/left_knee_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_knee_link.STL,,LGL4A-1;LGL4B-1,CLL4,ALL4,left_knee_joint,revolute,0,-0.32,0,0,0,-1.0472,left_leg_pitch_link,0,0,1,250,12,-1.05,1.1,,,2,2,,,,
